date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:03	7311/7311	---M-Z	200	added ('OK')	text/html	etag:%221c8f-55a257de4f500-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign10.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign10.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/news.html)
18:13:04	8668/8668	---M-Z	200	added ('OK')	text/html	etag:%2221dc-4d9dc2d5dd800-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign2.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign2.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:05	7512/7512	---M-Z	200	added ('OK')	text/html	etag:%221d58-513d1854c0e40-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign3.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign3.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:05	9839/9839	---M-Z	200	added ('OK')	text/html	etag:%22266f-546e0419d4dc0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign4.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign4.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:06	7475/7475	---M-Z	200	added ('OK')	text/html	etag:%221d33-547bc28d49f00-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign5.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign5.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:07	8245/8245	---M-Z	200	added ('OK')	text/html	etag:%222035-546e0419d4dc0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign6.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign6.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:08	6120/6120	---M-Z	200	added ('OK')	text/html	etag:%2217e8-546e0419d4dc0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign7.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign7.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:09	9099/9099	---M-Z	200	added ('OK')	text/html	etag:%22238b-540d145444d80-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign8.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign8.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:10	12133/12133	---M-Z	200	added ('OK')	text/html	etag:%222f65-546e0419d4dc0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign9.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign9.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html)
18:13:11	2123/2123	---M--	200	added ('OK')	text/x-python	etag:%2284b-48382d7010cc0%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/randline.py	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/randline.py	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign3.html)
18:13:15	2852/2852	---M--	200	added ('OK')	text/x-diff	etag:%22b24-47e1734525080%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/coreutils.diff	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/coreutils.diff	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign4.html)
18:13:24	14392/14392	---M--	200	added ('OK')	application/x-gzip	etag:%223838-549b3cf460740%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/dlskeleton.tgz	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/dlskeleton.gz	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign8.html)
18:13:24	503/503	---M--	200	added ('OK')	text/x-diff	etag:%221f7-52a322f02d740%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/diffutils-gets.diff	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/diffutils-gets.diff	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign9.html)
18:13:25	52223/52223	---M--	200	added ('OK')	application/x-gzip	etag:%22cbff-52c60e494e8c0%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/srt.tgz	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/srt.gz	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign6.html)
18:24:30	7369926/7369926	UR-M--	200	added ('Partial%20Content')	application/x-gzip	etag:%227074c6-47e1741046fc0%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/coreutils-with-bug.tar.gz	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/coreutils-with-bug.tar.gz	(from http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign4.html)
